step,train_with_grad_loss,train_without_grad_loss,validation_loss,test_loss
0,,2.973828125,1.24375,1.65859375
10,2.959130859375,2.2901123046875,0.5171142578125,0.951513671875
20,1.7845703125,2.2799072265625,0.51209716796875,0.945361328125
30,1.4626953125,2.2484130859375,0.5185791015625,0.94892578125
40,0.6543212890625,2.2834716796875,0.50294189453125,0.9451171875
50,1.675146484375,2.19794921875,0.5225341796875,0.938916015625
60,3.425927734375,2.128515625,0.567626953125,0.9783203125
70,2.23359375,1.96201171875,0.53447265625,0.945556640625
80,1.74052734375,2.0514892578125,0.5131591796875,0.94248046875
90,1.0467529296875,2.21123046875,0.51529541015625,0.958056640625
100,2.02626953125,2.13203125,0.565625,0.98837890625
110,2.58046875,1.994384765625,0.55235595703125,0.954052734375
120,1.209765625,1.9693603515625,0.4945556640625,0.925244140625
130,4.846875,2.037646484375,0.5436767578125,0.984228515625
140,2.403173828125,2.115283203125,0.5051025390625,0.937353515625
150,0.82607421875,2.06337890625,0.50267333984375,0.92548828125
160,2.2662109375,2.00712890625,0.506964111328125,0.915087890625
170,1.6693359375,1.9431640625,0.5482177734375,0.98134765625
180,2.00927734375,1.9343994140625,0.498583984375,0.9173828125
190,0.6012939453125,2.0477294921875,0.51077880859375,0.92158203125
200,1.15345458984375,1.95224609375,0.5005126953125,0.912646484375
210,2.0650390625,2.196533203125,0.53477783203125,1.030859375
220,1.1912109375,2.01806640625,0.49488525390625,0.91357421875
230,1.8949951171875,1.9140869140625,0.5244140625,0.943798828125
240,1.436962890625,1.9461181640625,0.49952392578125,0.92265625
250,1.13876953125,2.005712890625,0.5362548828125,0.931591796875
260,0.81533203125,1.9790283203125,0.50531005859375,0.912646484375
270,0.29156494140625,2.036767578125,0.496392822265625,0.929736328125
280,3.169775390625,1.914599609375,0.57003173828125,0.976171875
290,1.05380859375,1.9708740234375,0.50054931640625,0.92021484375
300,1.275048828125,1.9732421875,0.497418212890625,0.908740234375
310,0.6201416015625,1.9486572265625,0.497943115234375,0.908056640625
320,2.196533203125,1.924853515625,0.52601318359375,0.952294921875
330,1.7864990234375,1.971923828125,0.5309814453125,0.9458984375
340,1.72357177734375,1.948388671875,0.5221923828125,0.926171875
350,1.162890625,1.927685546875,0.499481201171875,0.913427734375
360,2.387109375,1.94267578125,0.490411376953125,0.9126953125
370,1.569677734375,1.95625,0.514306640625,0.936474609375
380,0.83349609375,1.941455078125,0.491046142578125,0.905224609375
390,0.61962890625,1.94423828125,0.493487548828125,0.89921875
400,1.143212890625,1.9151611328125,0.491461181640625,0.90322265625
410,1.10087890625,1.9343505859375,0.491363525390625,0.91064453125
420,1.333544921875,1.9540283203125,0.489697265625,0.9203125
430,1.27490234375,1.95478515625,0.50477294921875,0.912060546875
440,2.30302734375,1.981640625,0.555029296875,0.9466796875
450,1.4384765625,1.948876953125,0.5116455078125,0.908447265625
460,2.902734375,2.005615234375,0.521728515625,0.927392578125
470,1.01728515625,2.025927734375,0.544970703125,0.9484375
480,2.328173828125,1.932373046875,0.53162841796875,0.95849609375
490,1.4216796875,1.9508056640625,0.50830078125,0.91708984375
500,1.3968017578125,1.962451171875,0.50491943359375,0.91318359375
510,2.2384765625,1.9292724609375,0.503057861328125,0.9109375
520,1.6339111328125,1.9112060546875,0.500439453125,0.910595703125
530,1.77041015625,1.935693359375,0.50946044921875,0.929638671875
540,1.17447509765625,2.0262451171875,0.49722900390625,0.91650390625
550,1.5229736328125,2.0082763671875,0.498541259765625,0.9044921875
560,1.8939453125,1.9247314453125,0.5107421875,0.90380859375
570,1.4734375,1.9564453125,0.507568359375,0.90703125
580,1.48505859375,1.95333251953125,0.486700439453125,0.891943359375
590,2.1295166015625,1.8888427734375,0.5124755859375,0.908203125
600,1.640966796875,1.8956298828125,0.50791015625,0.9169921875
610,1.527978515625,1.926123046875,0.50084228515625,0.910107421875
620,1.0869873046875,2.01981201171875,0.510546875,0.9193359375
630,2.738720703125,2.025537109375,0.566845703125,0.99765625
640,1.04736328125,2.148681640625,0.580615234375,1.0234375
650,3.290283203125,1.93564453125,0.519580078125,0.93515625
660,0.675048828125,1.91572265625,0.493536376953125,0.900146484375
670,1.092529296875,1.95098876953125,0.483441162109375,0.893603515625
680,1.55994873046875,1.97607421875,0.4791748046875,0.894775390625
690,1.520263671875,1.91826171875,0.49366455078125,0.901611328125
700,1.658251953125,2.005615234375,0.55654296875,0.98095703125
710,1.401318359375,1.86806640625,0.48243408203125,0.889453125
720,1.569091796875,2.0118408203125,0.50157470703125,0.95986328125
730,3.001171875,1.93399658203125,0.48784637451171875,0.892431640625
740,1.5060546875,2.0279296875,0.514111328125,0.95
750,2.4523681640625,1.980419921875,0.507049560546875,0.8908203125
760,1.3990478515625,2.024169921875,0.57398681640625,0.96787109375
770,1.583349609375,1.9818115234375,0.5013916015625,0.895458984375
780,1.0849609375,1.9851806640625,0.4889892578125,0.89208984375
790,1.90458984375,1.93134765625,0.50419921875,0.916015625
800,2.0067626953125,1.8892578125,0.50068359375,0.895166015625
810,1.4837890625,1.9628173828125,0.53779296875,0.97060546875
820,2.7408203125,2.00400390625,0.5277099609375,0.92412109375
830,2.6783935546875,2.082421875,0.5568603515625,0.962109375
840,2.280615234375,2.075,0.53887939453125,0.9544921875
850,0.9369140625,2.1199951171875,0.49036865234375,0.922021484375
860,0.75521240234375,2.0750244140625,0.48538818359375,0.910791015625
870,1.4418701171875,1.9937744140625,0.49407958984375,0.9052734375
880,1.4477783203125,1.96015625,0.50233154296875,0.9033203125
890,2.38291015625,1.9447021484375,0.5046875,0.90771484375
900,0.8320556640625,1.9113525390625,0.5206787109375,0.9197265625
910,2.9255859375,1.88603515625,0.50921630859375,0.909130859375
920,1.46103515625,1.9061767578125,0.49161376953125,0.9056640625
930,1.1297119140625,1.895263671875,0.479827880859375,0.893359375
940,1.683935546875,1.91119384765625,0.474853515625,0.900439453125
950,0.98876953125,2.032275390625,0.485455322265625,0.92421875
960,1.72294921875,1.984423828125,0.5662841796875,0.96484375
970,1.7064697265625,1.9606201171875,0.491259765625,0.901416015625
980,2.6441650390625,1.96845703125,0.6015869140625,1.011328125
990,1.2822265625,1.921875,0.49459228515625,0.90078125
1000,1.376708984375,1.9363037109375,0.4810791015625,0.890673828125
