step,train_with_grad_loss,train_without_grad_loss,train_masked_accuracy,validation_loss,validation_masked_accuracy,test_loss,test_masked_accuracy
820,1.17109375,1.17890625,0.4487709134653434,1.20390625,0.42509921895247144,1.18046875,0.44021200587437176
830,1.18203125,1.18125,0.4484385140161768,1.20390625,0.42437254493437065,1.18046875,0.43983596477409587
840,1.18984375,1.18828125,0.4471669542185711,1.203125,0.4250229944051182,1.18046875,0.44027806714874457
850,1.1875,1.190625,0.4471827827637695,1.203125,0.42488579021988243,1.18046875,0.4403847815150391
860,1.184375,1.1875,0.4483171618363223,1.203125,0.42509921895247144,1.18046875,0.4409285166194921
870,1.17421875,1.2,0.4465496409558331,1.203125,0.42516528022684424,1.1796875,0.4406490266125303
880,1.16953125,1.17734375,0.44943571236367663,1.203125,0.4248553004009411,1.1796875,0.4406947613409422
890,1.15625,1.18203125,0.4484754472883064,1.203125,0.425089055679491,1.18046875,0.4408116389802172
900,1.17734375,1.1734375,0.4511029857912426,1.20234375,0.4258767093354744,1.17890625,0.4412740679008268
910,1.15625,1.1796875,0.44992112108309457,1.20234375,0.4257852398786505,1.17890625,0.44146717008745495
920,1.178125,1.16875,0.45235344086191703,1.20234375,0.4261206278870047,1.17890625,0.4420058235554178
930,1.16171875,1.171875,0.4517044705087822,1.20234375,0.42586654606249397,1.17734375,0.44186861937018196
940,1.16875,1.1625,0.45464857991568663,1.20234375,0.4265779751711241,1.17734375,0.4421125379217123
950,1.17890625,1.16015625,0.45303406830544873,1.203125,0.4246825247602738,1.1796875,0.4405270673367651
960,1.17578125,1.1875,0.45045401543810776,1.20234375,0.4260748931585928,1.1765625,0.44248857902198824
970,1.17890625,1.16015625,0.45445863737330566,1.20234375,0.4272385879148521,1.17734375,0.443144110129226
980,1.17578125,1.1515625,0.45929689602228657,1.2015625,0.42699466936332175,1.17578125,0.4429103548506761
990,1.17578125,1.1515625,0.461059140721043,1.2015625,0.42716744500398907,1.17578125,0.443804722872954
1000,1.16640625,1.1515625,0.4601252565543368,1.2015625,0.42755873101373565,1.17578125,0.44345408995512914
