step,train_with_grad_loss,train_without_grad_loss,train_masked_accuracy,validation_loss,validation_masked_accuracy,test_loss,test_masked_accuracy
210,1.22890625,1.2046875,0.43538524040922066,1.2390625,0.40817736944005445,1.22109375,0.4217199306864783
220,1.23046875,1.203125,0.4406033841429634,1.23671875,0.41068769786622084,1.21796875,0.42482481058199983
230,1.2203125,1.19375,0.44016546105914073,1.2328125,0.40836538999019245,1.2140625,0.42327491145248414
240,1.21171875,1.1921875,0.4411310023162438,1.2296875,0.410738514231123,1.20859375,0.4254447702338061
250,1.21640625,1.19921875,0.44124707831436544,1.2328125,0.41194794371579424,1.215625,0.4269590979078903
260,1.22578125,1.1859375,0.44504065298025125,1.22421875,0.4140923943146651,1.203125,0.4289002830471525
270,1.22109375,1.1828125,0.4473252396705552,1.225,0.41228333172414844,1.20546875,0.4288952014106623
280,1.19453125,1.18203125,0.446095889326812,1.22421875,0.41182598444002905,1.20390625,0.4278636292031486
290,1.19921875,1.1765625,0.44868649455761855,1.221875,0.41573376290100467,1.19921875,0.4312327541961613
300,1.1875,1.17578125,0.4482010858382006,1.22421875,0.4138586390361152,1.19921875,0.4293271405123306
310,1.20625,1.17265625,0.44838047601711595,1.22265625,0.41429057813778347,1.1984375,0.4296574468841946
320,1.171875,1.165625,0.45350364847966823,1.2171875,0.41735988657787354,1.1953125,0.43359571516411144
330,1.1953125,1.16328125,0.4556405020814537,1.21875,0.4171464578452845,1.19609375,0.4333365517031105
340,1.20625,1.16171875,0.4540365428346814,1.21875,0.41348767957232946,1.19609375,0.4302215085346085
350,1.1875,1.1578125,0.45465385609741943,1.21484375,0.41633847764334025,1.190625,0.43439353209307524
360,1.19140625,1.1578125,0.45603621571141395,1.21484375,0.41878782643162404,1.18984375,0.4350084101083913
370,1.165625,1.1859375,0.44738855385134885,1.2546875,0.40478283626459066,1.2265625,0.42387454455832957
380,1.1921875,1.1703125,0.4569331666059906,1.221875,0.41609964072830014,1.19921875,0.4324421836808326
390,1.17734375,1.1640625,0.45557191171892725,1.21953125,0.4144836803244117,1.19296875,0.43201024457916426
400,1.18046875,1.15390625,0.4591491629337681,1.21640625,0.4159217834511426,1.190625,0.4330773882421095
410,1.1859375,1.15,0.4606634270910827,1.21484375,0.4178578869539146,1.18828125,0.43621275795657233
420,1.17734375,1.14453125,0.4628899757823258,1.209375,0.4209678484859264,1.18515625,0.43714777907077196
430,1.153125,1.14453125,0.46276334742073855,1.21015625,0.4208001544817493,1.18515625,0.4366040439663189
440,1.160546875,1.1421875,0.4635178414085295,1.209375,0.4214353590430262,1.18515625,0.43771692235767606
450,1.1875,1.14296875,0.4618136347088339,1.2109375,0.4173497233048931,1.1859375,0.43463745064460557
460,1.1671875,1.14921875,0.4572919469638212,1.21640625,0.41308114865311224,1.1890625,0.4316392851153786
470,1.18125,1.1453125,0.4599353140119558,1.2140625,0.4163537225528109,1.1890625,0.43194926494128166
480,1.16328125,1.153125,0.4555455308102632,1.2234375,0.40985939111831576,1.19765625,0.42619177079786774
490,1.1859375,1.14375,0.4610485883575774,1.21171875,0.4157794976294166,1.18828125,0.4325082449552054
500,1.18671875,1.13984375,0.46452031593776216,1.21015625,0.4195399086321759,1.18359375,0.43624324777551365
510,1.17734375,1.1390625,0.464821058296532,1.21015625,0.4207544197533374,1.18515625,0.4385553923785616
520,1.1921875,1.13671875,0.46278972832940257,1.2078125,0.41782739713497336,1.18203125,0.43565885957913886
530,1.14765625,1.13515625,0.46684183590019573,1.20703125,0.4225329925249127,1.18125,0.44020692423788155
540,1.17265625,1.1375,0.46652526499622754,1.20703125,0.4226498701641877,1.18203125,0.439627617677997
550,1.17578125,1.1375,0.46538560974194193,1.20390625,0.4232088501781114,1.17734375,0.44023233242033266
560,1.16015625,1.13671875,0.4641193261260691,1.2078125,0.4203428071976299,1.18125,0.4364261866891614
570,1.1578125,1.1296875,0.4696962502176425,1.203125,0.4254346069608257,1.17578125,0.4423005584718503
580,1.1578125,1.13046875,0.46968042167244406,1.20234375,0.4250229944051182,1.17578125,0.4423513748367524
590,1.16484375,1.13046875,0.4688204040499971,1.203125,0.42526691295664854,1.17578125,0.4421227011946927
600,1.1765625,1.13203125,0.4683561000575104,1.20078125,0.42512462713492255,1.17578125,0.4428188853938522
610,1.1734375,1.13046875,0.4689786895019812,1.203125,0.4242251774761544,1.17734375,0.44149257826990607
620,1.1671875,1.13359375,0.4664250175433043,1.2078125,0.42118127721851545,1.17890625,0.4381285349133835
630,1.1625,1.128125,0.4713002094644148,1.2,0.42784838429367794,1.17421875,0.4441655190637593
640,1.15625,1.1328125,0.46568107591897895,1.20546875,0.42128799158480995,1.17890625,0.4385401474690909
650,1.13046875,1.1296875,0.47035577293424297,1.2015625,0.4252415047741975,1.17578125,0.44386062087434636
660,1.15546875,1.12890625,0.47066179147474557,1.20234375,0.42563787242043427,1.17734375,0.44222433392449706
670,1.165625,1.12578125,0.4716009518231846,1.19921875,0.42648650571430025,1.17421875,0.4424682524760274
680,1.17109375,1.13046875,0.4705668202035551,1.19921875,0.42678632226722296,1.17421875,0.4445313968910548
690,1.178125,1.1328125,0.46947992676659756,1.19921875,0.42709122045663583,1.17421875,0.44388602905679747
700,1.13828125,1.125,0.471025848014309,1.2015625,0.4245504022115282,1.175,0.4431085386737945
710,1.18046875,1.12578125,0.4712316191018883,1.19921875,0.42653224044271215,1.17421875,0.44449074379913306
720,1.17578125,1.1234375,0.47286723543905745,1.19921875,0.4257852398786505,1.17421875,0.44301706921697065
730,1.17109375,1.12421875,0.47122106673842273,1.2,0.42636454643853505,1.175,0.4430018243075
740,1.1453125,1.17109375,0.44903999873371636,1.25703125,0.39728742244152304,1.22890625,0.4175783969469528
